a;b
Adana;Aladað
Adana;Ceyhan
Adana;Çukurova
Adana;Aladað
Adana;Ceyhan
Adana;Çukurova
Adana;Feke
Adana;Ýmamoðlu
Adana;Karaisalý
Adana;Karataþ
Adana;Kozan
Adana;Pozantý
Adana;Saimbeyli
Adana;Sarýçam
Adana;Seyhan
Adana;Tufanbeyli
Adana;Yumurtalýk
Adana;Yüreðir
Adýyaman;Adýyaman Merkez
Adýyaman;Besni
Adýyaman;Çelikhan
Adýyaman;Gerger
Adýyaman;Gölbaþý / Adýyaman
Adýyaman;Kahta
Adýyaman;Samsat
Adýyaman;Sincik
Adýyaman;Tut
Afyonkarahisar;Afyonkarahisar Merkez
Afyonkarahisar;Baþmakçý
Afyonkarahisar;Bayat / Afyonkarahisar
Afyonkarahisar;Bolvadin
Afyonkarahisar;Çay
Afyonkarahisar;Çobanlar
Afyonkarahisar;Dazkýrý
Afyonkarahisar;Dinar
Afyonkarahisar;Emirdað
Afyonkarahisar;Evciler
Afyonkarahisar;Hocalar
Afyonkarahisar;Ýhsaniye
Afyonkarahisar;Ýscehisar
Afyonkarahisar;Kýzýlören
Afyonkarahisar;Sandýklý
Afyonkarahisar;Sinanpaþa
Afyonkarahisar;Sultandaðý
Afyonkarahisar;Þuhut
Aðrý;Aðrý Merkez
Aðrý;Diyadin
Aðrý;Doðubayazýt
Aðrý;Eleþkirt
Aðrý;Hamur
Aðrý;Patnos
Aðrý;Taþlýçay
Aðrý;Tutak
Amasya;Amasya Merkez
Amasya;Göynücek
Amasya;Gümüþhacýköy
Amasya;Hamamözü
Amasya;Merzifon
Amasya;Suluova
Amasya;Taþova
Ankara;Akyurt
Ankara;Altýndað
Ankara;Ayaþ
Ankara;Bala
Ankara;Beypazarý
Ankara;Çamlýdere
Ankara;Çankaya
Ankara;Çubuk
Ankara;Elmadað
Ankara;Etimesgut
Ankara;Evren
Ankara;Gölbaþý / Ankara
Ankara;Güdül
Ankara;Haymana
Ankara;Kalecik
Ankara;Kazan
Ankara;Keçiören
Ankara;Kýzýlcahamam
Ankara;Mamak
Ankara;Nallýhan
Ankara;Polatlý
Ankara;Pursaklar
Ankara;Sincan
Ankara;Þereflikoçhisar
Ankara;Yenimahalle
Antalya;Akseki
Antalya;Aksu / Antalya
Antalya;Alanya
Antalya;Demre
Antalya;Döþemealtý
Antalya;Elmalý
Antalya;Finike
Antalya;Gazipaþa
Antalya;Gündoðmuþ
Antalya;Ýbradý
Antalya;Kaþ
Antalya;Kemer / Antalya
Antalya;Kepez
Antalya;Konyaaltý
Antalya;Korkuteli
Antalya;Kumluca
Antalya;Manavgat
Antalya;Muratpaþa
Antalya;Serik
Artvin;Ardanuç
Artvin;Arhavi
Artvin;Artvin Merkez
Artvin;Borçka
Artvin;Hopa
Artvin;Murgul
Artvin;Þavþat
Artvin;Yusufeli
Aydýn;Aydýn Merkez
Aydýn;Bozdoðan
Aydýn;Buharkent
Aydýn;Çine
Aydýn;Didim
Aydýn;Germencik
Aydýn;Ýncirliova
Aydýn;Karacasu
Aydýn;Karpuzlu
Aydýn;Koçarlý
Aydýn;Köþk
Aydýn;Kuþadasý
Aydýn;Kuyucak
Aydýn;Nazilli
Aydýn;Söke
Aydýn;Sultanhisar
Aydýn;Yenipazar / Aydýn
Balýkesir;Ayvalýk
Balýkesir;Balýkesir Merkez
Balýkesir;Balya
Balýkesir;Bandýrma
Balýkesir;Bigadiç
Balýkesir;Burhaniye
Balýkesir;Dursunbey
Balýkesir;Edremit / Balýkesir
Balýkesir;Erdek
Balýkesir;Gömeç
Balýkesir;Gönen / Balýkesir
Balýkesir;Havran
Balýkesir;Ývrindi
Balýkesir;Kepsut
Balýkesir;Manyas
Balýkesir;Marmara
Balýkesir;Savaþtepe
Balýkesir;Sýndýrgý
Balýkesir;Susurluk
Bilecik;Bilecik Merkez
Bilecik;Bozüyük
Bilecik;Gölpazarý
Bilecik;Ýnhisar
Bilecik;Osmaneli
Bilecik;Pazaryeri
Bilecik;Söðüt
Bilecik;Yenipazar / Bilecik
Bingöl;Adaklý
Bingöl;Bingöl Merkez
Bingöl;Genç
Bingöl;Karlýova
Bingöl;Kiðý
Bingöl;Solhan
Bingöl;Yayladere
Bingöl;Yedisu
Bitlis;Adilcevaz
Bitlis;Ahlat
Bitlis;Bitlis Merkez
Bitlis;Güroymak
Bitlis;Hizan
Bitlis;Mutki
Bitlis;Tatvan
Bolu;Bolu Merkez
Bolu;Dörtdivan
Bolu;Gerede
Bolu;Göynük
Bolu;Kýbrýscýk
Bolu;Mengen
Bolu;Mudurnu
Bolu;Seben
Bolu;Yeniçaða
Burdur;Aðlasun
Burdur;Altýnyayla / Burdur
Burdur;Bucak
Burdur;Burdur Merkez
Burdur;Çavdýr
Burdur;Çeltikçi
Burdur;Gölhisar
Burdur;Karamanlý
Burdur;Kemer / Burdur
Burdur;Tefenni
Burdur;Yeþilova
Bursa;Büyükorhan
Bursa;Gemlik
Bursa;Gürsu
Bursa;Harmancýk
Bursa;Ýnegöl
Bursa;Ýznik
Bursa;Karacabey
Bursa;Keles
Bursa;Kestel
Bursa;Mudanya
Bursa;Mustafakemalpaþa
Bursa;Nilüfer
Bursa;Orhaneli
Bursa;Orhangazi
Bursa;Osmangazi
Bursa;Yeniþehir / Bursa
Bursa;Yýldýrým
Çanakkale;Ayvacýk / Çanakkale
Çanakkale;Bayramiç
Çanakkale;Biga
Çanakkale;Bozcaada
Çanakkale;Çan
Çanakkale;Çanakkale Merkez
Çanakkale;Eceabat
Çanakkale;Ezine
Çanakkale;Gelibolu
Çanakkale;Gökçeada
Çanakkale;Lapseki
Çanakkale;Yenice / Çanakkale
Çankýrý;Atkaracalar
Çankýrý;Bayramören
Çankýrý;Çankýrý Merkez
Çankýrý;Çerkeþ
Çankýrý;Eldivan
Çankýrý;Ilgaz
Çankýrý;Kýzýlýrmak
Çankýrý;Korgun
Çankýrý;Kurþunlu
Çankýrý;Orta
Çankýrý;Þabanözü
Çankýrý;Yapraklý
Çorum;Alaca
Çorum;Bayat / Çorum
Çorum;Boðazkale
Çorum;Çorum Merkez
Çorum;Dodurga
Çorum;Ýskilip
